DATASET,NLME_RESULT_ID,NLME_CURVE_ID,COSMIC_ID,CELL_LINE_NAME,SANGER_MODEL_ID,TCGA_DESC,DRUG_ID,DRUG_NAME,PUTATIVE_TARGET,PATHWAY_NAME,COMPANY_ID,WEBRELEASE,MIN_CONC,MAX_CONC,LN_IC50,AUC,RMSE,Z_SCORE
GDSC1,342,15606564,724834,NCI-H2087,SIDM00708,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,1.418322,0.920162,0.082717,0.759152
GDSC1,342,15606916,724838,UM-UC-3,SIDM01182,BLCA,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.599144,0.7334,0.113502,-0.521875
GDSC1,342,15607259,724839,SW756,SIDM01174,CESC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.80132,0.683646,0.229874,-0.65025
GDSC1,342,15607600,724855,NCI-H727,SIDM01119,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,3.253571,0.957548,0.077123,1.924478
GDSC1,342,15607948,724859,Calu-6,SIDM00921,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,3.30049,0.979394,0.052215,1.95427
GDSC1,342,15608334,724863,LU-65,SIDM00547,UNCLASSIFIED,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,4.175417,0.981013,0.040551,2.509821
GDSC1,342,15608730,724866,NCI-H1355,SIDM00645,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-1.125846,0.628751,0.177594,-0.856314
GDSC1,342,15609123,724868,NCI-H1792,SIDM00771,LUAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,0.273022,0.856863,0.040234,0.031923
GDSC1,342,15609475,724869,HPAF-II,SIDM00669,PAAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.042937,0.91588,0.044124,1.155763
GDSC1,342,15609822,724870,MIA-PaCa-2,SIDM00505,PAAD,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,-0.241799,0.755704,0.1421,-0.294972
GDSC1,342,15610128,724872,SHP-77,SIDM01078,SCLC,1006,Cytarabine,Antimetabolite,Other,1046,Y,0.007813,2.0,2.358477,0.982013,0.078157,1.356121
